,measurement,control_mean,control_sd,HIHA_mean,HIHA_sd,pvalue
0,cest_total_mean,7.255832187626095,0.3582831704079178,7.0994793084089425,0.19070568148707193,0.3912672792826394
1,cest_total_median,7.508567310511717,0.3757788940658145,7.156462234755357,0.3404913421577736,0.055013832353979004
2,cest_total_std,2.6131434549531516,0.11174773027483048,2.9298013916288914,0.205770022434396,0.0028804846690270907
3,cest_total_pixels,19679.0,1028.774902493252,18647.555555555555,1198.4646762616383,0.09416637543787974
4,cest_hipp_mean,8.874077126523213,0.6234646727992402,8.806735850836317,0.48438239323723437,0.8382564863858263
5,cest_hipp_median,9.021428531466517,0.5669138253596926,8.726356805198723,0.4268265143487232,0.2703441406547801
6,cest_hipp_std,1.5021855310474566,0.20779518320887383,2.5960388637657403,0.5960301890414248,0.0002797002701866865
7,cest_hipp_pixels,983.0,222.5776269080071,963.7777777777778,257.11596077247054,0.7750513736700824
8,cest_left_mean,8.995746961167962,0.6043118186664629,8.551165960182736,1.4329085178746483,0.3912672792826394
9,cest_left_median,9.173271321543144,0.5585673384223707,8.681400486992466,1.2958371471621075,0.3912672792826394
10,cest_left_std,1.4270335594514152,0.22078223077956036,2.2274299509202016,0.24465897470151032,0.0002797002701866865
11,cest_left_pixels,509.8,97.6501920121,494.77777777777777,123.78276471102983,0.7750513736700824
12,cest_right_mean,8.734582202103258,0.8316937295956855,9.039324828996559,1.6015360650677828,1.0
13,cest_right_median,8.871082901986664,0.7692654643899686,9.107614325980345,1.6175496556524562,0.9025232501776794
14,cest_right_std,1.4822575046777637,0.23030452613560337,2.192298147152301,0.12014786196783254,0.0002797002701866865
15,cest_right_pixels,473.2,134.6557091251611,469.0,149.2581656057718,0.967435545139537
16,hipp_total_volume,2.957624347303808,0.40463055076974375,3.087641262268027,1.034104759362093,0.3912672792826394
17,hipp_left_volume,1.5198758002594113,0.217301492623591,1.569842869669199,0.5078736727307204,0.5402913746074198
18,hipp_right_volume,1.4377485470443963,0.1938042328893992,1.5177983925988277,0.5376850263409837,0.48766835345893045
19,peak_cest,9.19863922037932,0.6017579266518133,9.829742971691601,1.3304092013325473,0.5402913746074198
